date, pm25, pm10, no2, co
2023/7/2, 26, 19, 32, 3
2023/7/3, 27, 27, 38, 3
2023/7/4, 37, 30, 35, 2
2023/7/5, 42, 22, 34, 2
2023/7/6, 31, 22, 34, 2
2023/7/7, 31, 22, 22, 1
2023/7/8, 31, 28, 35, 2
2023/7/9, 34, 24, 36, 2
2023/7/10, 31, 21, 37, 2
2023/7/11, 29, 18, 37, 2
2023/7/12, 25, 24, 30, 2
2023/7/13, 35, , , 
2023/4/1, 70, 43, 40, 4
2023/4/2, 63, 40, 28, 3
2023/4/3, 57, 48, 33, 3
2023/4/4, 72, 53, 31, 3
2023/4/5, 80, 54, 28, 3
2023/4/6, 83, 38, 33, 2
2023/4/7, 57, , , 
2023/4/9, 129, 64, 52, 5
2023/4/10, 105, 59, 48, 6
2023/4/11, 97, 44, 40, 4
2023/4/12, 63, 34, 34, 3
2023/4/13, 49, 24, 26, 2
2023/4/14, 35, , , 
2023/4/18, 71, 42, 27, 2
2023/4/19, 62, 61, 39, 5
2023/4/20, 100, 62, 31, 4
2023/4/21, 101, 55, 21, 2
2023/4/22, 85, , , 
2023/4/26, 44, 45, 36, 3
2023/4/27, 68, 32, 31, 3
2023/4/28, 46, , , 
2023/4/30, 38, 34, 31, 2
2023/5/1, 47, , , 
2023/5/9, 85, 31, 28, 3
2023/5/10, 43, 23, 31, 2
2023/5/11, 30, 20, 29, 2
2023/5/12, 25, 21, 23, 1
2023/5/13, 29, 34, 38, 4
2023/5/14, 43, 38, 41, 3
2023/5/15, 51, , , 
2023/6/5, 54, 36, 37, 3
2023/6/6, 45, 56, 43, 3
2023/6/7, 84, , , 
2023/6/12, 62, 42, 36, 2
2023/6/13, 59, 29, 34, 4
2023/6/14, 41, 15, 33, 3
2023/6/15, 22, 25, 53, 2
2023/6/16, 34, , , 
2023/6/18, 30, 37, 46, 4
2023/6/19, 54, 28, 33, 3
2023/6/20, 39, 35, 39, 3
2023/6/21, 42, 32, 44, 5
2023/6/22, 47, 36, 34, 1
2023/6/23, 50, 38, 39, 4
2023/6/24, 50, 13, 32, 3
2023/6/25, 17, 46, 30, 3
2023/6/26, 61, 21, 34, 3
2023/6/27, 30, 17, 27, 2
2023/6/28, 23, , , 
2023/1/2, 106, 76, 5, 3
2023/1/3, 128, 63, 4, 2
2023/1/4, 103, 57, 8, 6
2023/1/5, 94, 50, 9, 5
2023/1/6, 67, , , 
2023/1/8, 93, 69, 3, 2
2023/1/9, 120, 69, 2, 1
2023/1/10, 115, 53, 6, 2
2023/1/11, 85, 56, 6, 2
2023/1/12, 82, 42, 8, 3
2023/1/13, 62, , , 
2023/1/15, 76, 47, 8, 5
2023/1/16, 66, 62, 7, 4
2023/1/17, 96, 54, 6, 3
2023/1/18, 79, 69, 7, 3
2023/1/19, 112, 75, 10, 4
2023/1/20, 136, 82, 19, 7
2023/1/21, 142, 89, 25, 12
2023/1/22, 149, 68, 25, 9
2023/1/23, 114, 38, 17, 5
2023/1/24, 55, 51, 10, 4
2023/1/25, 76, 59, 10, 3
2023/1/26, 96, , , 
2023/1/29, 112, 78, 27, 7
2023/1/30, 135, 68, 22, 10
2023/1/31, 114, 53, 13, 6
2023/2/1, 79, 51, 7, 3
2023/2/2, 72, , , 
2023/2/12, 60, 42, 5, 4
2023/2/13, 70, 35, 9, 3
2023/2/14, 60, 38, 10, 2
2023/2/15, 63, 49, 7, 3
2023/2/16, 85, 69, 7, 4
2023/2/17, 126, 47, 6, 4
2023/2/18, 71, 65, 14, 8
2023/2/19, 120, 60, 11, 6
2023/2/20, 107, 63, 15, 4
2023/2/21, 110, 57, 17, 7
2023/2/22, 93, 60, 34, 5
2023/2/23, 92, , , 
2023/2/27, 126, 55, 15, 2
2023/2/28, 94, 57, 15, 1
2023/3/1, 94, , , 
2023/3/12, 77, 47, 32, 2
2023/3/13, 73, 64, 41, 3
2023/3/14, 104, 68, 38, 2
2023/3/15, 108, 45, 34, 2
2023/3/16, 56, 46, 33, 2
2023/3/17, 69, 39, 25, 1
