date, pm25, pm10, o3, no2, so2, co, aqi
2017/12/17, , , , , 37, , 139
2017/12/18, , , , , 38, , 121
2017/12/19, , , , , 44, , 117
2017/12/20, , , , , 47, , 124
2017/12/21, , , , , 46, , 143
2017/12/22, , , , , 53, , 158
2017/12/23, , , , , 48, , 140
2017/12/24, , , , , 40, , 146
2017/12/25, , , , , 46, , 168
2017/12/26, , , , , 48, , 144
2017/12/27, , , , , 37, , 103
2017/12/28, , , , , 37, , 158
2017/12/29, , , , , 40, , 89
2017/12/30, , , , , 38, , 114
2017/12/31, , , , , 38, , 
2017/8/26, , , , , 15, , 
2017/8/27, , , , , 15, , 
2017/8/28, , , , , 14, , 
2017/8/29, , , , , 14, , 
2017/8/30, , , , , 15, , 
2017/8/31, , , , , 15, , 
2017/9/1, , , , , 15, , 
2017/9/2, , , , , 15, , 
2017/9/3, , , , , 15, , 
2017/9/4, , , , , 15, , 
2017/9/5, , , , , 14, , 
2017/9/8, , , , , 16, , 
2017/9/9, , , , , 13, , 
2017/9/18, , , , , 14, , 
2017/9/19, , , , , 14, , 
2017/9/20, , , , , 14, , 
2017/9/21, , , , , 14, , 
2017/9/24, , , , , 13, , 
2017/9/25, , , , , 14, , 
2017/9/26, , , , , 14, , 
2017/9/27, , , , , 14, , 
2017/9/28, , , , , 14, , 
2017/9/29, , , , , 14, , 
2017/9/30, , , , , 13, , 
2016/10/4, , , , , 11, 54, 150
2023/9/3, , , , , , , 92
2021/7/1, , , , , , , 39
2021/7/2, , , , , , , 38
2021/7/3, , , , , , , 44
2021/7/4, , , , , , , 44
2021/7/5, , , , , , , 42
2021/7/6, , , , , , , 49
2021/7/7, , , , , , , 46
2021/7/8, , , , , , , 40
2021/7/9, , , , , , , 45
2021/7/10, , , , , , , 42
2021/7/11, , , , , , , 41
2021/7/12, , , , , , , 40
2021/7/13, , , , , , , 41
2021/7/14, , , , , , , 42
2021/7/15, , , , , , , 40
2021/7/16, , , , , , , 41
2021/7/17, , , , , , , 42
2021/7/18, , , , , , , 49
2021/7/19, , , , , , , 51
2021/7/20, , , , , , , 48
2021/7/21, , , , , , , 45
2021/7/22, , , , , , , 55
2021/7/23, , , , , , , 45
2021/7/24, , , , , , , 48
2021/7/25, , , , , , , 50
2021/7/26, , , , , , , 48
2021/7/27, , , , , , , 41
2021/7/28, , , , , , , 44
2021/7/29, , , , , , , 34
2021/7/30, , , , , , , 38
2021/7/31, , , , , , , 47
2021/8/1, , , , , , , 43
2021/8/2, , , , , , , 46
2021/8/10, , , , , , , 43
2021/8/11, , , , , , , 45
2021/8/12, , , , , , , 57
2021/8/13, , , , , , , 55
2021/8/14, , , , , , , 60
2021/8/15, , , , , , , 57
2021/8/16, , , , , , , 60
2021/8/17, , , , , , , 61
2021/4/1, , , , , , , 90
2021/4/2, , , , , , , 79
2021/4/3, , , , , , , 75
2021/4/4, , , , , , , 116
2021/4/5, , , , , , , 108
2021/4/6, , , , , , , 133
2021/4/7, , , , , , , 103
2021/4/8, , , , , , , 90
2021/4/9, , , , , , , 62
2021/4/10, , , , , , , 89
2021/4/11, , , , , , , 125
2021/4/12, , , , , , , 76
2021/4/13, , , , , , , 63
2021/4/14, , , , , , , 67
2021/4/17, , , , , , , 48
2021/4/18, , , , , , , 98
2021/4/19, , , , , , , 99
2021/4/20, , , , , , , 53
2021/4/21, , , , , , , 54
2021/4/22, , , , , , , 56
2021/4/23, , , , , , , 56
2021/4/24, , , , , , , 63
2021/4/25, , , , , , , 69
2021/4/26, , , , , , , 53
2021/4/27, , , , , , , 55
2021/4/28, , , , , , , 78
2021/4/29, , , , , , , 43
2021/4/30, , , , , , , 93
2021/5/1, , , , , , , 99
2021/5/2, , , , , , , 84
2021/5/3, , , , , , , 57
2021/5/4, , , , , , , 49
2021/5/5, , , , , , , 48
2021/5/6, , , , , , , 78
2021/5/7, , , , , , , 77
2021/5/8, , , , , , , 59
2021/5/9, , , , , , , 53
2021/5/10, , , , , , , 57
2021/5/11, , , , , , , 56
2021/5/14, , , , , , , 79
2021/5/15, , , , , , , 76
2021/5/17, , , , , , , 63
2021/5/18, , , , , , , 49
2021/5/19, , , , , , , 54
2021/5/20, , , , , , , 54
2021/5/21, , , , , , , 53
2021/5/22, , , , , , , 52
2021/5/23, , , , , , , 50
2021/5/24, , , , , , , 44
2021/5/25, , , , , , , 48
2021/5/26, , , , , , , 69
2021/5/27, , , , , , , 54
2021/5/28, , , , , , , 56
2021/5/29, , , , , , , 59
2021/5/30, , , , , , , 58
2021/5/31, , , , , , , 57
2021/6/1, , , , , , , 54
2021/6/2, , , , , , , 57
2021/6/3, , , , , , , 63
2021/6/4, , , , , , , 52
2021/6/5, , , , , , , 58
2021/6/6, , , , , , , 89
2021/6/7, , , , , , , 72
2021/6/8, , , , , , , 70
2021/6/9, , , , , , , 70
2021/6/10, , , , , , , 68
2021/6/11, , , , , , , 69
2021/6/12, , , , , , , 68
2021/6/13, , , , , , , 63
2021/6/14, , , , , , , 49
2021/6/15, , , , , , , 40
2021/6/16, , , , , , , 41
2021/6/17, , , , , , , 41
2021/6/18, , , , , , , 41
2021/6/19, , , , , , , 43
2021/6/22, , , , , , , 58
2021/6/23, , , , , , , 65
2021/6/24, , , , , , , 72
2021/6/25, , , , , , , 69
2021/6/26, , , , , , , 66
2021/6/27, , , , , , , 48
2021/6/28, , , , , , , 38
2021/6/29, , , , , , , 40
2021/6/30, , , , , , , 39
2021/1/4, , , , , , , 154
2021/1/5, , , , , , , 193
2021/1/6, , , , , , , 175
2021/1/7, , , , , , , 166
2021/1/8, , , , , , , 84
2021/1/9, , , , , , , 54
2021/1/10, , , , , , , 64
2021/1/11, , , , , , , 78
2021/1/12, , , , , , , 102
2021/1/13, , , , , , , 138
2021/1/14, , , , , , , 149
2021/1/15, , , , , , , 173
2021/1/16, , , , , , , 184
2021/1/17, , , , , , , 145
2021/1/18, , , , , , , 101
2021/1/19, , , , , , , 145
2021/1/20, , , , , , , 168
2021/1/21, , , , , , , 192
2021/1/22, , , , , , , 190
2021/1/23, , , , , , , 191
2021/1/24, , , , , , , 183
2021/1/25, , , , , , , 170
2021/1/26, , , , , , , 142
2021/1/27, , , , , , , 111
2021/1/28, , , , , , , 114
2021/1/29, , , , , , , 135
2021/1/30, , , , , , , 168
2021/1/31, , , , , , , 161
2021/2/1, , , , , , , 145
2021/2/2, , , , , , , 139
2021/2/3, , , , , , , 116
2021/2/4, , , , , , , 124
2021/2/5, , , , , , , 113
2021/2/6, , , , , , , 129
2021/2/7, , , , , , , 122
2021/2/8, , , , , , , 130
2021/2/9, , , , , , , 57
2021/2/10, , , , , , , 89
2021/2/11, , , , , , , 76
2021/2/12, , , , , , , 81
2021/2/13, , , , , , , 81
2021/2/14, , , , , , , 80
2021/2/15, , , , , , , 118
2021/2/16, , , , , , , 124
2021/2/17, , , , , , , 94
2021/2/18, , , , , , , 106
2021/2/19, , , , , , , 126
2021/2/20, , , , , , , 126
2021/2/21, , , , , , , 107
2021/2/22, , , , , , , 114
2021/2/23, , , , , , , 114
2021/2/24, , , , , , , 93
2021/2/25, , , , , , , 90
2021/2/26, , , , , , , 97
2021/2/27, , , , , , , 96
2021/2/28, , , , , , , 94
2021/3/1, , , , , , , 117
2021/3/2, , , , , , , 73
2021/3/3, , , , , , , 115
2021/3/4, , , , , , , 106
2021/3/5, , , , , , , 136
2021/3/6, , , , , , , 133
2021/3/7, , , , , , , 118
2021/3/8, , , , , , , 159
2021/3/9, , , , , , , 95
2021/3/10, , , , , , , 87
2021/3/11, , , , , , , 98
2021/3/12, , , , , , , 120
2021/3/13, , , , , , , 134
2021/3/14, , , , , , , 119
2021/3/15, , , , , , , 104
2021/3/16, , , , , , , 99
2021/3/17, , , , , , , 101
2021/3/18, , , , , , , 120
2021/3/19, , , , , , , 100
2021/3/20, , , , , , , 91
2021/3/21, , , , , , , 80
2021/3/22, , , , , , , 76
2021/3/23, , , , , , , 103
2021/3/24, , , , , , , 135
2021/3/25, , , , , , , 174
2021/3/26, , , , , , , 147
2021/3/27, , , , , , , 93
2021/3/28, , , , , , , 100
2021/3/29, , , , , , , 152
2021/3/30, , , , , , , 137
2021/3/31, , , , , , , 111
2020/10/1, , , , , , , 12
2020/10/2, , , , , , , 55
2020/10/13, , , , , , , 111
2020/10/14, , , , , , , 56
2020/10/15, , , , , , , 20
2020/10/16, , , , , , , 36
2020/10/17, , , , , , , 22
2020/10/18, , , , , , , 61
2020/10/19, , , , , , , 57
2020/10/20, , , , , , , 42
2020/10/21, , , , , , , 44
2020/10/22, , , , , , , 72
2020/10/23, , , , , , , 94
2020/10/24, , , , , , , 111
2020/10/25, , , , , , , 96
2020/10/26, , , , , , , 120
2020/10/27, , , , , , , 156
2020/10/28, , , , , , , 143
2020/10/29, , , , , , , 94
2020/10/30, , , , , , , 62
2020/10/31, , , , , , , 99
2020/11/1, , , , , , , 185
2020/11/2, , , , , , , 143
2020/11/3, , , , , , , 75
2020/11/4, , , , , , , 137
2020/11/5, , , , , , , 179
2020/11/6, , , , , , , 213
2020/11/7, , , , , , , 128
2020/11/8, , , , , , , 109
2020/11/9, , , , , , , 113
2020/11/10, , , , , , , 132
2020/11/11, , , , , , , 123
2020/11/12, , , , , , , 136
2020/11/13, , , , , , , 127
2020/11/14, , , , , , , 123
2020/11/15, , , , , , , 94
2020/11/16, , , , , , , 105
2020/11/17, , , , , , , 146
2020/11/18, , , , , , , 121
2020/11/19, , , , , , , 142
2020/11/20, , , , , , , 136
2020/11/21, , , , , , , 121
2020/11/22, , , , , , , 137
2020/11/23, , , , , , , 121
2020/11/24, , , , , , , 151
2020/11/25, , , , , , , 166
2020/11/26, , , , , , , 146
2020/11/27, , , , , , , 158
2020/11/28, , , , , , , 102
2020/11/29, , , , , , , 66
2020/12/1, , , , , , , 190
2020/12/2, , , , , , , 113
2020/12/3, , , , , , , 117
2020/12/4, , , , , , , 74
2020/12/5, , , , , , , 90
2020/12/6, , , , , , , 139
2020/12/7, , , , , , , 161
2020/12/8, , , , , , , 151
2020/12/9, , , , , , , 174
2020/12/10, , , , , , , 179
2020/12/11, , , , , , , 190
2020/12/12, , , , , , , 169
2020/12/13, , , , , , , 159
2020/12/14, , , , , , , 149
2020/12/15, , , , , , , 56
2020/12/16, , , , , , , 55
2020/12/17, , , , , , , 61
2020/12/18, , , , , , , 79
2020/12/19, , , , , , , 91
2020/12/20, , , , , , , 96
2020/12/21, , , , , , , 103
2020/12/22, , , , , , , 145
2020/12/23, , , , , , , 155
2020/12/24, , , , , , , 122
2020/12/25, , , , , , , 167
2020/12/26, , , , , , , 178
2020/12/27, , , , , , , 209
2020/12/28, , , , , , , 158
2020/12/29, , , , , , , 96
2020/12/30, , , , , , , 71
2020/12/31, , , , , , , 82
2021/1/1, , , , , , , 117
2021/1/2, , , , , , , 161
2021/1/3, , , , , , , 162
2020/7/1, , , , , , , 57
2020/7/2, , , , , , , 45
2020/7/3, , , , , , , 25
2020/7/4, , , , , , , 31
2020/7/5, , , , , , , 34
2020/7/6, , , , , , , 26
2020/7/7, , , , , , , 30
2020/7/8, , , , , , , 24
2020/7/9, , , , , , , 25
2020/7/10, , , , , , , 27
2020/7/11, , , , , , , 24
2020/7/12, , , , , , , 34
2020/7/13, , , , , , , 26
2020/7/14, , , , , , , 44
2020/7/15, , , , , , , 30
2020/7/16, , , , , , , 25
2020/7/17, , , , , , , 20
2020/7/18, , , , , , , 24
2020/7/19, , , , , , , 33
2020/7/20, , , , , , , 29
2020/7/21, , , , , , , 36
2020/7/22, , , , , , , 19
2020/7/23, , , , , , , 27
2020/7/24, , , , , , , 25
2020/7/25, , , , , , , 23
2020/7/26, , , , , , , 19
2020/7/27, , , , , , , 30
2020/7/28, , , , , , , 91
2020/7/29, , , , , , , 73
2020/7/30, , , , , , , 59
2020/7/31, , , , , , , 63
2020/8/1, , , , , , , 44
2020/8/2, , , , , , , 15
2020/8/3, , , , , , , 45
2020/8/4, , , , , , , 66
2020/8/5, , , , , , , 52
2020/8/6, , , , , , , 38
2020/8/7, , , , , , , 36
2020/8/8, , , , , , , 43
2020/8/9, , , , , , , 50
2020/8/10, , , , , , , 60
2020/8/11, , , , , , , 41
2020/8/12, , , , , , , 55
2020/8/13, , , , , , , 26
2020/8/14, , , , , , , 31
2020/8/15, , , , , , , 56
2020/8/16, , , , , , , 44
2020/8/17, , , , , , , 22
2020/8/18, , , , , , , 9
2020/8/19, , , , , , , 39
2020/8/20, , , , , , , 44
2020/8/21, , , , , , , 40
2020/8/22, , , , , , , 53
2020/8/23, , , , , , , 32
2020/8/24, , , , , , , 32
2020/8/25, , , , , , , 23
2020/8/26, , , , , , , 57
2020/8/27, , , , , , , 103
2020/8/28, , , , , , , 31
2020/8/29, , , , , , , 61
2020/8/30, , , , , , , 55
2020/8/31, , , , , , , 60
2020/9/1, , , , , , , 56
2020/9/2, , , , , , , 99
2020/9/3, , , , , , , 86
2020/9/4, , , , , , , 56
2020/9/5, , , , , , , 28
2020/9/6, , , , , , , 18
2020/9/7, , , , , , , 8
2020/9/8, , , , , , , 40
2020/9/9, , , , , , , 20
2020/9/10, , , , , , , 19
2020/9/11, , , , , , , 24
2020/9/12, , , , , , , 22
2020/9/13, , , , , , , 21
2020/9/14, , , , , , , 15
2020/9/15, , , , , , , 18
2020/9/16, , , , , , , 17
2020/9/17, , , , , , , 24
2020/9/18, , , , , , , 11
2020/9/19, , , , , , , 8
2020/9/20, , , , , , , 9
2020/9/21, , , , , , , 31
2020/9/22, , , , , , , 11
2020/9/23, , , , , , , 15
2020/9/24, , , , , , , 18
2020/9/25, , , , , , , 25
2020/9/26, , , , , , , 12
2020/9/27, , , , , , , 10
2020/9/28, , , , , , , 14
2020/9/29, , , , , , , 23
2020/6/20, , , , , , , 40
2020/6/21, , , , , , , 41
2020/6/22, , , , , , , 41
2020/6/23, , , , , , , 33
2020/6/24, , , , , , , 34
2020/6/25, , , , , , , 106
2020/6/26, , , , , , , 36
2020/6/27, , , , , , , 30
2020/6/28, , , , , , , 44
2020/6/29, , , , , , , 43
2020/6/30, , , , , , , 56
2020/1/1, , , , , , , 238
2020/1/2, , , , , , , 178
2020/1/3, , , , , , , 110
2020/1/4, , , , , , , 125
2020/1/5, , , , , , , 126
2020/1/6, , , , , , , 123
2020/1/7, , , , , , , 172
2020/1/8, , , , , , , 124
2020/1/9, , , , , , , 133
2020/1/10, , , , , , , 102
2020/1/11, , , , , , , 110
2020/1/12, , , , , , , 93
2020/1/13, , , , , , , 198
2020/1/14, , , , , , , 256
2019/10/1, , , , , , , 133
2019/10/2, , , , , , , 170
2019/10/3, , , , , , , 120
2019/10/4, , , , , , , 144
2019/10/5, , , , , , , 122
2019/10/6, , , , , , , 112
2019/10/7, , , , , , , 115
2019/10/8, , , , , , , 50
2019/10/9, , , , , , , 42
2019/10/10, , , , , , , 100
2019/10/11, , , , , , , 97
2019/10/12, , , , , , , 115
2019/10/13, , , , , , , 156
2019/10/14, , , , , , , 132
2019/10/15, , , , , , , 108
2019/10/16, , , , , , , 151
2019/10/17, , , , , , , 169
2019/10/18, , , , , , , 74
2019/10/19, , , , , , , 94
2019/10/20, , , , , , , 166
2019/10/21, , , , , , , 180
2019/10/22, , , , , , , 108
2019/10/23, , , , , , , 108
2019/10/24, , , , , , , 58
2019/10/25, , , , , , , 131
2019/10/26, , , , , , , 179
2019/10/27, , , , , , , 142
2019/10/28, , , , , , , 105
2019/10/29, , , , , , , 83
2019/10/30, , , , , , , 126
2019/10/31, , , , , , , 149
2019/11/1, , , , , , , 113
2019/11/2, , , , , , , 99
2019/11/3, , , , , , , 122
2019/11/4, , , , , , , 111
2019/11/5, , , , , , , 148
2019/11/6, , , , , , , 191
2019/11/7, , , , , , , 198
2019/11/8, , , , , , , 178
2019/11/9, , , , , , , 184
2019/11/10, , , , , , , 202
2019/11/11, , , , , , , 222
2019/11/12, , , , , , , 282
2019/11/13, , , , , , , 211
2019/11/14, , , , , , , 107
2019/11/15, , , , , , , 171
2019/11/16, , , , , , , 156
2019/11/17, , , , , , , 116
2019/11/18, , , , , , , 82
2019/11/19, , , , , , , 75
2019/11/20, , , , , , , 152
2019/11/21, , , , , , , 176
2019/11/22, , , , , , , 176
2019/11/23, , , , , , , 189
2019/11/24, , , , , , , 141
2019/11/25, , , , , , , 158
2019/11/26, , , , , , , 181
2019/11/27, , , , , , , 201
2019/11/28, , , , , , , 124
2019/11/29, , , , , , , 140
2019/11/30, , , , , , , 191
2019/12/1, , , , , , , 154
2019/12/2, , , , , , , 85
2019/12/3, , , , , , , 149
2019/12/4, , , , , , , 160
2019/12/5, , , , , , , 128
2019/12/6, , , , , , , 106
2019/12/7, , , , , , , 164
2019/12/8, , , , , , , 190
2019/12/9, , , , , , , 221
2019/12/10, , , , , , , 247
2019/12/11, , , , , , , 275
2019/12/12, , , , , , , 274
2019/12/13, , , , , , , 309
2019/12/14, , , , , , , 274
2019/12/15, , , , , , , 160
2019/12/16, , , , , , , 164
2019/12/17, , , , , , , 163
2019/12/18, , , , , , , 139
2019/12/19, , , , , , , 158
2019/12/20, , , , , , , 171
2019/12/21, , , , , , , 142
2019/12/22, , , , , , , 110
2019/12/23, , , , , , , 167
2019/12/24, , , , , , , 221
2019/12/25, , , , , , , 115
2019/12/26, , , , , , , 133
2019/12/27, , , , , , , 98
2019/12/28, , , , , , , 181
2019/12/29, , , , , , , 199
2019/7/1, , , , , , , 46
2019/7/2, , , , , , , 100
2019/7/3, , , , , , , 58
2019/7/4, , , , , , , 28
2019/7/5, , , , , , , 33
2019/7/6, , , , , , , 18
2019/7/7, , , , , , , 17
2019/7/8, , , , , , , 20
2019/7/9, , , , , , , 40
2019/7/10, , , , , , , 51
2019/7/11, , , , , , , 38
2019/7/12, , , , , , , 28
2019/7/13, , , , , , , 24
2019/7/14, , , , , , , 115
2019/7/15, , , , , , , 76
2019/7/16, , , , , , , 96
2019/7/17, , , , , , , 78
2019/7/18, , , , , , , 128
2019/7/19, , , , , , , 96
2019/7/20, , , , , , , 38
2019/7/21, , , , , , , 49
2019/7/22, , , , , , , 69
2019/7/23, , , , , , , 72
2019/7/24, , , , , , , 87
2019/7/25, , , , , , , 80
2019/7/26, , , , , , , 77
2019/7/27, , , , , , , 43
2019/7/28, , , , , , , 45
2019/7/29, , , , , , , 35
2019/7/30, , , , , , , 61
2019/7/31, , , , , , , 54
2019/8/1, , , , , , , 45
2019/8/2, , , , , , , 46
2019/8/3, , , , , , , 15
2019/8/4, , , , , , , 36
2019/8/5, , , , , , , 61
2019/8/6, , , , , , , 73
2019/8/7, , , , , , , 135
2019/8/8, , , , , , , 81
2019/8/9, , , , , , , 78
2019/8/10, , , , , , , 107
2019/8/11, , , , , , , 110
2019/8/12, , , , , , , 59
2019/8/13, , , , , , , 44
2019/8/14, , , , , , , 69
2019/8/15, , , , , , , 65
2019/8/16, , , , , , , 79
2019/8/17, , , , , , , 63
2019/8/18, , , , , , , 81
2019/8/19, , , , , , , 82
2019/8/20, , , , , , , 69
2019/8/21, , , , , , , 130
2019/8/22, , , , , , , 88
2019/8/23, , , , , , , 54
2019/8/24, , , , , , , 77
2019/8/25, , , , , , , 100
2019/8/26, , , , , , , 174
2019/8/27, , , , , , , 80
2019/8/28, , , , , , , 69
2019/8/29, , , , , , , 40
2019/8/30, , , , , , , 17
2019/8/31, , , , , , , 22
2019/9/1, , , , , , , 37
2019/9/2, , , , , , , 43
2019/9/3, , , , , , , 48
2019/9/4, , , , , , , 75
2019/9/5, , , , , , , 91
2019/9/6, , , , , , , 83
2019/9/7, , , , , , , 72
2019/9/8, , , , , , , 49
2019/9/9, , , , , , , 57
2019/9/10, , , , , , , 31
2019/9/11, , , , , , , 41
2019/9/12, , , , , , , 51
2019/9/13, , , , , , , 80
2019/9/14, , , , , , , 73
2019/9/15, , , , , , , 107
2019/9/16, , , , , , , 99
2019/9/17, , , , , , , 98
2019/9/18, , , , , , , 72
2019/9/19, , , , , , , 83
2019/9/20, , , , , , , 103
2019/9/21, , , , , , , 33
2019/9/22, , , , , , , 56
2019/9/23, , , , , , , 86
2019/9/24, , , , , , , 69
2019/9/25, , , , , , , 81
2019/9/26, , , , , , , 92
2019/9/27, , , , , , , 90
2019/9/28, , , , , , , 100
2019/9/29, , , , , , , 86
2019/9/30, , , , , , , 120
2019/4/1, , , , , , , 88
2019/4/2, , , , , , , 141
2019/4/3, , , , , , , 111
2019/4/4, , , , , , , 59
2019/4/5, , , , , , , 
2019/4/6, , , , , , , 
2019/4/7, , , , , , , 
2019/4/8, , , , , , , 
2019/4/9, , , , , , , 
2019/4/10, , , , , , , 4
2019/4/11, , , , , , , 
2019/4/12, , , , , , , 
2019/4/13, , , , , , , 
2019/4/14, , , , , , , 
2019/4/15, , , , , , , 
2019/4/16, , , , , , , 
2019/4/17, , , , , , , 
2019/4/18, , , , , , , 
2019/4/19, , , , , , , 
2019/4/20, , , , , , , 
2019/4/21, , , , , , , 
2019/4/22, , , , , , , 
2019/4/23, , , , , , , 
2019/4/24, , , , , , , 
2019/4/25, , , , , , , 42
2019/4/26, , , , , , , 65
2019/4/27, , , , , , , 44
2019/4/28, , , , , , , 64
2019/4/29, , , , , , , 109
2019/4/30, , , , , , , 101
2019/5/1, , , , , , , 64
2019/5/2, , , , , , , 122
2019/5/6, , , , , , , 158
2019/5/7, , , , , , , 88
2019/5/8, , , , , , , 46
2019/5/9, , , , , , , 42
2019/5/10, , , , , , , 83
2019/5/11, , , , , , , 149
2019/5/12, , , , , , , 57
2019/5/13, , , , , , , 44
2019/5/14, , , , , , , 51
2019/5/15, , , , , , , 63
2019/5/16, , , , , , , 64
2019/5/17, , , , , , , 86
2019/5/18, , , , , , , 89
2019/5/19, , , , , , , 105
2019/5/20, , , , , , , 40
2019/5/21, , , , , , , 
2019/5/22, , , , , , , 
2019/5/23, , , , , , , 
2019/5/24, , , , , , , 
2019/5/25, , , , , , , 3
2019/5/26, , , , , , , 
2019/5/27, , , , , , , 
2019/5/28, , , , , , , 
2019/5/29, , , , , , , 
2019/5/30, , , , , , , 
2019/5/31, , , , , , , 
2019/6/1, , , , , , , 
2019/6/2, , , , , , , 
2019/6/3, , , , , , , 
2019/6/4, , , , , , , 
2019/6/5, , , , , , , 
2019/6/6, , , , , , , 
2019/6/7, , , , , , , 
2019/6/8, , , , , , , 
2019/6/9, , , , , , , 
2019/6/10, , , , , , , 
2019/6/11, , , , , , , 
2019/6/12, , , , , , , 
2019/6/13, , , , , , , 
2019/6/14, , , , , , , 
2019/6/15, , , , , , , 
2019/6/16, , , , , , , 
2019/6/17, , , , , , , 
2019/6/18, , , , , , , 
2019/6/19, , , , , , , 
2019/6/20, , , , , , , 
2019/6/21, , , , , , , 
2019/6/22, , , , , , , 
2019/6/23, , , , , , , 
2019/6/24, , , , , , , 
2019/6/25, , , , , , , 
2019/6/26, , , , , , , 
2019/6/27, , , , , , , 
2019/6/28, , , , , , , 15
2019/6/29, , , , , , , 50
2019/6/30, , , , , , , 52
2019/1/1, , , , , , , 46
2019/1/2, , , , , , , 60
2019/1/3, , , , , , , 49
2019/1/4, , , , , , , 36
2019/1/5, , , , , , , 33
2019/1/6, , , , , , , 42
2019/1/7, , , , , , , 103
2019/1/8, , , , , , , 29
2019/1/9, , , , , , , 13
2019/1/10, , , , , , , 59
2019/1/11, , , , , , , 97
2019/1/12, , , , , , , 82
2019/1/13, , , , , , , 57
2019/1/14, , , , , , , 87
2019/1/15, , , , , , , 53
2019/1/16, , , , , , , 14
2019/1/17, , , , , , , 36
2019/1/18, , , , , , , 79
2019/1/19, , , , , , , 119
2019/1/20, , , , , , , 121
2019/1/21, , , , , , , 24
2019/1/22, , , , , , , 67
2019/1/23, , , , , , , 121
2019/1/24, , , , , , , 123
2019/1/25, , , , , , , 181
2019/1/26, , , , , , , 165
2019/1/27, , , , , , , 164
2019/1/28, , , , , , , 124
2019/1/29, , , , , , , 91
2019/1/30, , , , , , , 34
2019/1/31, , , , , , , 48
2019/2/1, , , , , , , 63
2019/2/2, , , , , , , 66
2019/2/3, , , , , , , 63
2019/2/4, , , , , , , 58
2019/2/5, , , , , , , 57
2019/2/6, , , , , , , 24
2019/2/7, , , , , , , 
2019/2/8, , , , , , , 
2019/2/9, , , , , , , 
2019/2/10, , , , , , , 
2019/2/11, , , , , , , 
2019/2/12, , , , , , , 
2019/2/13, , , , , , , 
2019/2/14, , , , , , , 
2019/2/15, , , , , , , 
2019/2/16, , , , , , , 
2019/2/17, , , , , , , 
2019/2/18, , , , , , , 
2019/2/19, , , , , , , 
2019/2/20, , , , , , , 
2019/2/21, , , , , , , 
2019/2/22, , , , , , , 
2019/2/23, , , , , , , 
2019/2/24, , , , , , , 
2019/2/25, , , , , , , 
2019/2/26, , , , , , , 
2019/2/27, , , , , , , 29
2019/2/28, , , , , , , 92
2019/3/1, , , , , , , 52
2019/3/2, , , , , , , 52
2019/3/3, , , , , , , 44
2019/3/4, , , , , , , 45
2019/3/5, , , , , , , 49
2019/3/6, , , , , , , 33
2019/3/7, , , , , , , 32
2019/3/8, , , , , , , 36
2019/3/9, , , , , , , 47
2019/3/10, , , , , , , 26
2019/3/11, , , , , , , 68
2019/3/12, , , , , , , 97
2019/3/13, , , , , , , 78
2019/3/14, , , , , , , 113
2019/3/15, , , , , , , 42
2019/3/16, , , , , , , 57
2019/3/17, , , , , , , 20
2019/3/18, , , , , , , 24
2019/3/19, , , , , , , 62
2019/3/20, , , , , , , 77
2019/3/21, , , , , , , 63
2019/3/22, , , , , , , 62
2019/3/23, , , , , , , 48
2019/3/24, , , , , , , 32
2019/3/25, , , , , , , 27
2019/3/26, , , , , , , 86
2019/3/27, , , , , , , 119
2019/3/28, , , , , , , 74
2019/3/29, , , , , , , 67
2019/3/30, , , , , , , 98
2019/3/31, , , , , , , 133
2018/10/1, , , , , , , 128
2018/10/2, , , , , , , 136
2018/10/3, , , , , , , 147
2018/10/4, , , , , , , 140
2018/10/5, , , , , , , 147
2018/10/6, , , , , , , 174
2018/10/7, , , , , , , 160
2018/10/8, , , , , , , 143
2018/10/9, , , , , , , 125
2018/10/10, , , , , , , 45
2018/10/11, , , , , , , 104
2018/10/12, , , , , , , 130
2018/10/13, , , , , , , 164
2018/10/14, , , , , , , 116
2018/10/15, , , , , , , 69
2018/10/16, , , , , , , 72
2018/10/17, , , , , , , 36
2018/10/18, , , , , , , 50
2018/10/19, , , , , , , 67
2018/10/20, , , , , , , 110
2018/10/21, , , , , , , 81
2018/10/22, , , , , , , 52
2018/10/23, , , , , , , 24
2018/10/24, , , , , , , 53
2018/10/25, , , , , , , 75
2018/10/26, , , , , , , 65
2018/10/27, , , , , , , 46
2018/10/28, , , , , , , 78
2018/10/29, , , , , , , 76
2018/10/30, , , , , , , 71
2018/10/31, , , , , , , 57
2018/11/1, , , , , , , 69
2018/11/2, , , , , , , 80
2018/11/3, , , , , , , 101
2018/11/4, , , , , , , 120
2018/11/5, , , , , , , 108
2018/11/6, , , , , , , 84
2018/11/7, , , , , , , 63
2018/11/8, , , , , , , 54
2018/11/9, , , , , , , 72
2018/11/10, , , , , , , 101
2018/11/11, , , , , , , 97
2018/11/12, , , , , , , 70
2018/11/13, , , , , , , 70
2018/11/14, , , , , , , 70
2018/11/15, , , , , , , 54
2018/11/16, , , , , , , 43
2018/11/17, , , , , , , 46
2018/11/18, , , , , , , 71
2018/11/19, , , , , , , 73
2018/11/20, , , , , , , 83
2018/11/21, , , , , , , 64
2018/11/22, , , , , , , 44
2018/11/23, , , , , , , 81
2018/11/24, , , , , , , 127
2018/11/25, , , , , , , 107
2018/11/26, , , , , , , 104
2018/11/27, , , , , , , 99
2018/11/28, , , , , , , 119
2018/11/29, , , , , , , 139
2018/11/30, , , , , , , 113
