date, pm25, pm10, no2, so2, co
2023/7/1, 81, 40, 9, , 2
2023/7/2, 52, 52, 8, , 3
2023/7/3, 65, 39, 6, , 3
2023/7/4, 58, 37, 6, , 2
2023/7/5, 45, 38, 6, , 2
2023/7/6, 60, 43, 5, , 2
2023/7/7, 58, 42, 5, , 2
2023/7/8, 45, 43, 6, , 2
2023/7/9, 54, 44, 5, , 2
2023/7/10, 77, 45, 6, , 2
2023/7/11, 72, 39, 4, , 3
2023/7/12, 52, 39, 3, , 3
2023/7/13, 60, 53, 5, , 3
2023/7/14, 73, 47, 4, , 3
2023/7/15, 72, 53, 4, , 3
2023/7/16, 63, 66, 5, 3, 3
2023/7/17, 87, 50, 4, 3, 2
2023/7/18, 75, 39, 3, 3, 3
2023/7/19, 77, 51, 4, 2, 3
2023/7/20, 100, 45, 4, 2, 3
2023/7/21, 83, 54, 4, 1, 3
2023/7/22, 77, 50, 4, 1, 3
2023/7/23, 74, 47, 4, 2, 2
2023/7/24, 74, 49, 4, 2, 3
2023/7/25, 83, 52, 4, 2, 2
2023/7/26, 72, 60, 5, 4, 3
2023/7/27, 94, 56, 4, 1, 3
2023/7/28, 100, 59, 4, 1, 3
2023/7/29, 111, 80, 4, 2, 3
2023/7/30, 141, 32, 3, 2, 2
2023/7/31, 60, 43, 3, 3, 3
2023/8/1, 86, 41, 3, 2, 2
2023/8/2, 77, 44, 2, 2, 3
2023/8/3, 63, 37, 2, 1, 3
2023/8/4, 61, 50, 2, 1, 3
2023/8/5, 94, 48, 2, 1, 4
2023/8/6, 84, 43, 2, 1, 3
2023/8/7, 70, 51, 2, 1, 4
2023/8/8, 82, 52, 2, 1, 4
2023/8/9, 77, 62, 2, 1, 4
2023/8/10, 104, 52, 1, 1, 4
2023/8/11, 93, 55, 1, 1, 5
2023/8/12, 95, 58, 2, 1, 4
2023/8/13, 104, 65, 1, 2, 4
2023/8/14, 120, 34, 1, 2, 3
2023/8/15, 64, 41, 1, 1, 4
2023/8/16, 75, 52, 1, 1, 3
2023/8/17, 84, , , , 
2023/4/1, 139, 66, 3, 2, 3
2023/4/2, 129, 63, 2, 2, 2
2023/4/3, 101, 72, 38, 5, 4
2023/4/4, 122, 95, 2, 1, 5
2023/4/5, 154, 82, 3, 4, 4
2023/4/6, 137, 42, 3, 3, 3
2023/4/7, 56, 67, 2, 3, 3
2023/4/8, 91, 60, 1, 3, 3
2023/4/9, 71, 58, 9, 5, 5
2023/4/10, 101, 64, 3, 4, 5
2023/4/11, 117, 69, 5, 1, 5
2023/4/12, 129, 69, 9, 1, 5
2023/4/13, 124, 70, 4, 1, 4
2023/4/14, 129, 51, 8, 1, 5
2023/4/15, 74, 80, 9, 1, 6
2023/4/16, 130, 98, 9, 2, 4
2023/4/17, 165, 81, 2, 1, 4
2023/4/18, 119, 94, 6, 1, 5
2023/4/19, 158, 111, 8, 2, 5
2023/4/20, 167, 103, 8, 2, 6
2023/4/21, 154, 132, 7, 1, 6
2023/4/22, 205, , , , 
2023/4/25, 23, 44, 7, 1, 3
2023/4/26, 48, 68, 8, 2, 4
2023/4/27, 103, 67, 8, 2, 5
2023/4/28, 112, 40, 4, 1, 3
2023/4/29, 62, 42, 4, 1, 2
2023/4/30, 42, 74, 5, 2, 4
2023/5/1, 102, 75, 5, 1, 3
2023/5/2, 105, 64, 5, 1, 3
2023/5/3, 80, 64, 3, 1, 2
2023/5/4, 87, 71, 6, 1, 3
2023/5/5, 96, 71, 7, 1, 4
2023/5/6, 99, 69, 6, 1, 3
2023/5/7, 104, 23, 4, 2, 3
2023/5/8, 36, 33, 5, 1, 3
2023/5/9, 48, 59, 6, , 5
2023/5/10, 104, 60, 7, 1, 3
2023/5/11, 98, 25, 5, 2, 3
2023/5/12, 23, 23, 4, 1, 3
2023/5/13, 30, 34, 5, 1, 3
2023/5/14, 59, 62, 6, 1, 5
2023/5/15, 113, 81, 6, 1, 4
2023/5/16, 132, 88, 8, 1, 5
2023/5/17, 136, 69, 8, 1, 5
2023/5/18, 108, 78, 4, 2, 4
2023/5/19, 126, 80, 4, 2, 3
2023/5/20, 132, 77, 3, 1, 3
2023/5/21, 119, 71, 4, 1, 3
2023/5/22, 105, 70, 6, 1, 3
2023/5/23, 110, 45, 5, 1, 3
2023/5/24, 68, 49, 7, 1, 3
2023/5/25, 80, 44, 6, 1, 3
2023/5/26, 68, 35, 6, 1, 2
2023/5/27, 45, 38, 6, 1, 2
2023/5/28, 48, 53, 8, 1, 3
2023/5/29, 77, 55, 9, 1, 3
2023/5/30, 80, 56, 8, 1, 3
2023/5/31, 88, 57, 13, 2, 3
2023/6/1, 82, 63, 6, 1, 3
2023/6/2, 105, 59, 6, 1, 3
2023/6/3, 82, 58, 6, 1, 3
2023/6/4, 100, 52, 5, 1, 3
2023/6/5, 81, 52, 6, 1, 3
2023/6/6, 94, 47, 5, 1, 4
2023/6/7, 75, 58, 3, 1, 4
2023/6/8, 108, 39, 3, 1, 3
2023/6/9, 66, 58, 6, 1, 4
2023/6/10, 98, 92, 6, 1, 4
2023/6/11, 161, 70, 6, 1, 5
2023/6/12, 131, 77, 5, 1, 4
2023/6/13, 144, 28, 3, 1, 2
2023/6/14, 53, 55, 4, 1, 3
2023/6/15, 110, 59, 5, 1, 2
2023/6/16, 94, 73, 5, 1, 2
2023/6/17, 87, 55, 4, 1, 3
2023/6/18, 96, 58, 7, 1, 4
2023/6/19, 98, 58, 7, 1, 3
2023/6/20, 90, 29, 3, 1, 2
2023/6/21, 46, 50, 6, 1, 3
2023/6/22, 74, 38, 3, 1, 3
2023/6/23, 71, 27, 8, , 3
2023/6/24, 36, 15, 3, , 3
2023/6/25, 40, 28, 4, , 3
2023/6/26, 65, 43, 7, , 2
2023/6/27, 83, 40, 5, , 2
2023/6/28, 59, 46, 4, , 2
2023/6/29, 73, 63, 5, , 2
2023/6/30, 99, 45, 7, , 2
2023/1/2, 148, 50, 6, 1, 
2023/1/3, 86, 85, 9, 4, 
2023/1/4, 151, 93, 9, 3, 
2023/1/5, 168, 54, 4, 2, 
2023/1/6, 99, 66, 7, 4, 
2023/1/7, 116, 97, 9, 5, 
2023/1/8, 176, 121, 10, 3, 
2023/1/9, 215, 108, 7, 2, 
2023/1/10, 197, 73, 5, 2, 
2023/1/11, 157, 72, 10, 4, 
2023/1/12, 150, 71, 11, 13, 
2023/1/13, 134, 89, 14, 7, 
2023/1/14, 165, 89, 8, 1, 
2023/1/15, 145, 31, 4, 1, 
2023/1/16, 46, 48, 4, 1, 
2023/1/17, 73, 55, 5, 1, 
2023/1/18, 86, 77, 7, 1, 
2023/1/19, 148, 91, 8, 1, 
2023/1/20, 171, 104, 9, 1, 
