date, pm25, pm10, no2, co
2020/11/26, 100, 69, 36, 20
2020/11/27, 101, 52, 16, 15
2020/11/28, 78, 43, 17, 13
2020/11/29, 58, 55, 19, 14
2020/11/30, 75, 68, 24, 20
2020/12/1, 102, 79, 26, 21
2020/12/2, 116, 67, 17, 13
2020/12/3, 99, 53, 15, 12
2020/12/4, 69, 58, 24, 18
2020/12/5, 71, 75, 31, 16
2020/12/6, 108, 90, 28, 15
2020/12/7, 141, 89, 27, 17
2020/12/8, 127, 78, 48, 23
2020/12/9, 118, 92, 44, 31
2020/12/10, 129, 110, 42, 35
2020/12/11, 161, 90, 36, 27
2020/12/12, 138, 93, 23, 23
2020/12/13, 136, 78, 19, 26
2020/12/14, 106, 55, 15, 14
2020/12/15, 66, 55, 13, 13
2020/12/16, 63, 48, 13, 14
2020/12/17, 60, 56, 12, 11
2020/12/18, 70, 70, 18, 12
2020/12/19, 89, 70, 14, 11
2020/12/20, 94, 75, 14, 13
2020/12/21, 115, 94, 26, 19
2020/12/22, 145, 93, 26, 19
2020/12/23, 154, 88, 26, 22
2020/12/24, 122, 93, 32, 23
2020/12/25, 148, 98, 32, 20
2020/12/26, 153, 134, 24, 24
2020/12/27, 182, 89, 33, 27
2020/12/28, 140, 67, 17, 13
2020/12/29, 97, 61, 17, 13
2020/12/30, 86, 56, 19, 15
2020/12/31, 85, 80, 16, 11
2021/1/1, 121, 106, 25, 22
2021/1/2, 158, 110, 25, 17
2021/1/3, 159, 117, 25, 18
2020/7/1, 70, 58, 28, 33
2020/7/2, 67, 47, 26, 33
2020/7/3, 56, 46, 25, 33
2020/7/4, 52, 54, 25, 31
2020/7/5, 60, 48, 24, 29
2020/7/6, 54, 52, 24, 28
2020/7/7, 57, 50, 22, 28
2020/7/8, 58, 51, 18, 27
2020/7/9, 56, 54, 15, 31
2020/7/10, 57, 57, 15, 29
2020/7/11, 65, 62, 21, 28
2020/7/12, 80, 61, 24, 27
2020/7/13, 71, 60, 32, 26
2020/7/14, 69, 60, 26, 26
2020/7/15, 74, 59, 23, 31
2020/7/16, 64, 58, 22, 26
2020/7/17, 68, 57, 20, 25
2020/7/18, 67, 55, 18, 25
2020/7/19, 58, 55, 18, 28
2020/7/20, 59, 57, 13, 28
2020/7/21, 65, 54, 14, 25
2020/7/22, 60, 57, 17, 27
2020/7/23, 65, 59, 21, 29
2020/7/24, 67, 56, 20, 27
2020/7/25, 64, 54, 18, 25
2020/7/26, 64, 77, 29, 30
2020/7/27, 102, 97, 37, 31
2020/7/28, 141, 76, 36, 34
2020/7/29, 112, 69, 35, 30
2020/7/30, 89, 61, 28, 26
2020/7/31, 76, 68, 16, 20
2020/8/1, 90, 55, 6, 10
2020/8/2, 59, 56, 11, 31
2020/8/3, 66, 65, 14, 34
2020/8/4, 87, 64, 14, 31
2020/8/5, 78, 56, 12, 33
2020/8/6, 68, 60, 13, 37
2020/8/7, 69, 56, 14, 34
2020/8/8, 68, 58, 22, 29
