date,median
2023-09-30,25.7
2023-10-01,32.1
2023-10-02,33.1
2023-10-03,21.4
2023-10-04,27
2023-10-05,31.3
2023-10-06,37.9
2023-10-07,40
2023-10-08,29
2023-10-09,37.25
2023-10-10,43
2023-10-11,26.7
2023-10-12,38.7
2023-10-13,49.8
2023-10-14,50.8
2023-10-15,29
2023-10-16,45.85
2023-10-17,32
2023-10-18,42.4
2023-10-19,48.6
2023-10-20,44.4
2023-10-21,48.8
2023-10-22,38
2023-10-24,46.9
2023-10-25,65
2023-10-26,35.2
2023-10-28,46.3
2023-10-29,30.4
2023-11-02,57.6
2023-11-03,35.25
2023-11-04,28.2
2023-11-05,21.5
2023-11-06,24.85
2023-11-07,46.2
2023-11-08,38.79
2023-11-09,35.9
2023-11-10,44.5
2023-11-11,36.6
2023-11-12,56.95
2023-11-13,34.75
2023-11-14,57.1
2023-11-15,37.29
2023-11-16,47.3
2023-11-17,32.2
2023-11-18,22
2023-11-19,31.9
2023-11-20,47.9
2023-11-21,40.8
2023-11-22,36.7
2023-11-23,55.1
2023-11-24,31.1
