date,avg
2022-11-19,36.7
2022-11-20,58.26666666666667
2022-11-21,36.2
2022-11-22,47.333333333333336
2022-11-23,72.50000000000001
2022-11-24,25.53333333333333
2022-11-25,35.983333333333334
2022-11-26,41.03333333333333
2022-11-27,21.433333333333334
2022-11-28,25.133333333333336
2022-11-29,43.199999999999996
2022-11-30,75.16666666666667
2022-12-01,78.23333333333333
2022-12-02,38.36666666666667
2022-12-03,48.133333333333326
2022-12-04,24.13333333333333
2022-12-05,52.23333333333333
2022-12-06,54.76666666666667
2022-12-07,55.56666666666666
2022-12-08,78.93333333333334
2022-12-09,85.16666666666667
2022-12-10,71.3
2022-12-11,58.29999999999999
2022-12-12,51.03333333333333
2022-12-13,86.06666666666668
2022-12-14,90.33333333333333
2022-12-15,51.89666666666667
2022-12-16,66.86666666666667
2022-12-17,63.78333333333334
2022-12-21,63.599999999999994
2022-12-22,63.50000000000001
2022-12-23,57.333333333333336
2022-12-24,63.23333333333333
2022-12-25,59.43333333333334
2022-12-26,79.71666666666667
2022-12-27,112.03333333333332
2022-12-28,83.88333333333334
2022-12-29,62.43333333333334
2022-12-30,104.66666666666667
2022-12-31,59.06666666666666
2023-01-01,32.6
2023-01-02,72.6
2023-01-03,55.81666666666666
2023-01-04,46.866666666666674
2023-01-05,44.13333333333333
2023-01-06,29.766666666666666
2023-01-07,35.53333333333333
2023-01-08,89.60000000000001
2023-01-09,61.050000000000004
2023-01-10,30.766666666666666
2023-01-11,45.449999999999996
2023-01-12,23.483333333333334
2023-01-13,37.666666666666664
2023-01-14,56.99666666666666
2023-01-15,55.449999999999996
2023-01-16,45.300000000000004
2023-01-17,65.8
2023-01-18,63.083333333333336
2023-01-19,63.099999999999994
2023-01-20,47.5
2023-01-21,107.89999999999999
2023-01-22,37.583333333333336
2023-01-23,31.933333333333337
2023-01-24,35.333333333333336
2023-01-25,30.599999999999998
2023-01-26,39.76666666666666
2023-01-27,63.13333333333333
2023-01-28,47.0
2023-01-29,43.03333333333334
2023-01-30,65.96666666666667
2023-01-31,85.95
2023-02-01,47.65
2023-02-02,42.699999999999996
2023-02-03,52.43333333333334
2023-02-04,29.166666666666668
2023-02-05,42.6
2023-02-06,23.400000000000002
2023-02-07,51.400000000000006
2023-02-08,35.96666666666666
2023-02-09,38.0
2023-02-10,30.5
2023-02-11,42.6
2023-02-12,33.73333333333333
2023-02-13,59.56666666666667
2023-02-14,54.666666666666664
2023-02-15,66.13333333333334
2023-02-16,73.43333333333332
2023-02-17,66.76666666666667
2023-02-18,48.53333333333333
2023-02-19,51.26666666666667
2023-02-20,36.46666666666667
2023-02-21,39.46666666666667
2023-03-06,65.7
2023-03-07,76.39999999999999
2023-03-08,51.51666666666666
2023-03-09,64.3
2023-03-10,83.26666666666667
2023-03-11,46.43333333333333
2023-03-12,51.699999999999996
2023-03-13,36.06666666666667
2023-03-14,29.833333333333332
2023-03-15,36.65
2023-03-16,31.400000000000002
2023-03-17,24.766666666666666
2023-03-18,24.733333333333334
2023-03-19,27.833333333333332
2023-03-20,38.9
2023-03-21,31.566666666666666
2023-03-22,27.433333333333334
2023-03-23,25.0
2023-03-24,19.666666666666668
2023-03-25,47.68333333333334
2023-03-26,44.56666666666666
2023-03-27,49.53333333333333
2023-03-28,40.43333333333333
2023-03-29,42.63333333333333
2023-03-30,25.833333333333332
2023-03-31,28.5
2023-04-01,49.166666666666664
2023-04-02,29.0
2023-04-03,33.76666666666667
2023-04-04,26.666666666666668
2023-04-05,27.200000000000003
2023-04-06,33.6
2023-04-07,29.0
2023-04-08,29.149999999999995
2023-04-09,43.699999999999996
2023-04-10,38.4
2023-04-11,44.56666666666666
2023-04-12,37.43333333333334
2023-04-13,68.42999999999999
2023-04-14,39.5
2023-04-15,72.23333333333333
2023-04-16,42.083333333333336
2023-04-17,41.766666666666666
2023-04-18,36.56666666666667
2023-04-19,37.6
2023-04-20,38.233333333333334
2023-04-21,38.050000000000004
2023-04-22,37.06666666666667
2023-04-23,35.199999999999996
2023-04-24,36.300000000000004
2023-04-25,53.5
2023-04-26,47.46666666666667
2023-04-27,54.4
2023-04-28,54.633333333333326
2023-04-29,48.333333333333336
2023-04-30,40.56666666666667
2023-05-01,81.53333333333335
2023-05-02,41.13333333333333
2023-05-03,25.0
2023-05-04,20.916666666666668
2023-05-05,41.03333333333333
2023-05-06,38.0
2023-05-07,40.1
2023-05-15,33.23
2023-05-16,36.56666666666667
2023-05-17,32.5
2023-05-20,28.816666666666663
2023-05-21,32.233333333333334
2023-05-22,52.0
2023-05-23,23.933333333333334
2023-05-24,33.81666666666667
2023-05-25,36.266666666666666
2023-05-26,32.333333333333336
2023-05-27,61.96666666666667
2023-05-28,41.46666666666667
2023-05-29,32.99999999999999
2023-05-30,35.56666666666667
2023-05-31,40.9
2023-06-01,40.78333333333334
2023-06-02,39.4
2023-06-03,27.53333333333333
2023-06-04,32.53333333333334
2023-06-05,62.43333333333334
2023-06-06,31.299999999999997
2023-06-07,36.68333333333333
2023-06-08,30.3
2023-06-09,31.78333333333333
2023-06-10,21.7
2023-06-11,23.833333333333332
2023-06-12,38.63333333333333
2023-06-13,38.833333333333336
2023-06-14,34.6
2023-06-15,25.066666666666666
2023-06-16,22.7
2023-06-17,42.03333333333333
2023-06-18,25.833333333333332
2023-06-19,35.300000000000004
2023-06-20,38.98333333333334
2023-06-21,64.53333333333333
2023-06-22,42.73333333333333
2023-06-23,36.6
2023-06-24,50.73333333333334
2023-06-25,66.7
2023-06-26,57.1
2023-06-27,33.49999999999999
2023-06-28,47.51666666666667
2023-06-29,27.96666666666667
