,date,Tỉnh,Thuộc tính,count,min ,max,median,variance
0,30/12/2019,Hà Nội,pm10,24,65.0,89.0,70.0,431.72
1,30/12/2019,Hà Nội,o3,44,1.3,7.0,4.0,22.48
2,30/12/2019,Hà Nội,so2,43,1.6,7.0,4.0,17.75
3,30/12/2019,Hà Nội,aqi,24,174.0,306.0,185.0,12698.1
4,30/12/2019,Hà Nội,co,48,0.1,39.0,0.4,1099.57
5,30/12/2019,Hà Nội,pm25,48,114.0,191.0,154.0,3874.4
6,30/12/2019,Hà Nội,no2,48,4.6,47.0,14.2,1195.24
7,31/12/2019,Hà Nội,pm10,24,66.0,81.0,75.0,135.2
8,31/12/2019,Hà Nội,o3,42,1.3,7.0,4.0,22.1
9,31/12/2019,Hà Nội,so2,36,2.1,6.0,4.0,12.8
10,31/12/2019,Hà Nội,aqi,24,174.0,267.0,194.0,6764.06
11,31/12/2019,Hà Nội,co,48,0.1,27.0,0.3,905.41
12,31/12/2019,Hà Nội,pm25,48,133.0,182.0,152.0,1383.15
13,31/12/2019,Hà Nội,no2,48,4.2,36.0,12.4,715.53
14,1/01/2020,Hà Nội,pm10,24,68.0,92.0,83.0,431.88
15,1/01/2020,Hà Nội,o3,43,1.3,6.0,4.0,18.7
16,1/01/2020,Hà Nội,so2,44,1.6,8.0,4.0,23.14
17,1/01/2020,Hà Nội,aqi,24,200.0,297.0,241.0,5957.81
18,1/01/2020,Hà Nội,co,48,0.1,29.0,0.3,725.18
19,1/01/2020,Hà Nội,pm25,48,128.0,198.0,164.0,3433.19
20,1/01/2020,Hà Nội,no2,48,7.4,42.0,17.9,940.8
21,2/01/2020,Hà Nội,pm10,24,45.0,87.0,68.0,1411.58
22,2/01/2020,Hà Nội,o3,44,1.3,6.0,3.0,20.72
23,2/01/2020,Hà Nội,so2,43,1.6,8.0,3.0,20.6
24,2/01/2020,Hà Nội,aqi,24,97.0,245.0,182.0,10834.7
25,2/01/2020,Hà Nội,co,48,0.1,30.0,0.3,870.4
26,2/01/2020,Hà Nội,pm25,48,67.0,181.0,144.0,9603.97
27,2/01/2020,Hà Nội,no2,48,6.9,41.0,16.0,903.67
28,3/01/2020,Hà Nội,Sương,7,18.0,18.0,18.0,0.0
29,3/01/2020,Hà Nội,Nhiệt độ,34,20.5,25.5,24.0,31.86
30,3/01/2020,Hà Nội,Độ ẩm,34,63.0,85.0,69.0,599.01
31,3/01/2020,Hà Nội,Tốc độ gió,34,2.3,5.1,3.6,7.44
32,3/01/2020,Hà Nội,pm10,24,31.0,57.0,44.0,649.84
33,3/01/2020,Hà Nội,o3,45,1.3,7.0,3.0,30.09
34,3/01/2020,Hà Nội,so2,34,1.6,6.0,3.0,12.19
35,3/01/2020,Hà Nội,aqi,24,86.0,146.0,107.0,2751.88
37,3/01/2020,Hà Nội,Áp suất,34,1018.0,1020.5,1019.0,10.32
38,3/01/2020,Hà Nội,co,47,0.1,24.0,2.0,446.05
39,3/01/2020,Hà Nội,pm25,48,47.0,114.0,82.0,4194.02
40,3/01/2020,Hà Nội,no2,47,4.6,40.0,15.0,834.04
41,4/01/2020,Hà Nội,Sương,39,18.0,20.5,19.0,4.4
42,4/01/2020,Hà Nội,Nhiệt độ,72,20.0,24.0,21.0,13.52
43,4/01/2020,Hà Nội,Độ ẩm,72,73.0,94.0,87.5,317.6
44,4/01/2020,Hà Nội,Tốc độ gió,72,0.5,5.9,2.3,15.99
45,4/01/2020,Hà Nội,pm10,24,34.0,55.0,44.0,482.54
46,4/01/2020,Hà Nội,o3,46,1.3,7.0,3.0,33.63
47,4/01/2020,Hà Nội,so2,45,1.1,5.0,2.6,12.39
48,4/01/2020,Hà Nội,aqi,24,70.0,172.0,126.0,13253.8
50,4/01/2020,Hà Nội,Áp suất,72,1016.0,1021.0,1019.0,23.97
51,4/01/2020,Hà Nội,co,48,0.1,25.0,0.3,579.83
52,4/01/2020,Hà Nội,pm25,48,48.0,159.0,85.0,10387.6
53,4/01/2020,Hà Nội,no2,48,3.2,29.0,12.0,558.69
54,5/01/2020,Hà Nội,Sương,54,18.0,20.0,19.0,4.03
55,5/01/2020,Hà Nội,Nhiệt độ,72,19.0,24.5,21.0,24.19
56,5/01/2020,Hà Nội,Độ ẩm,72,69.0,94.0,88.0,538.87
57,5/01/2020,Hà Nội,Tốc độ gió,72,0.2,4.1,2.5,13.66
58,5/01/2020,Hà Nội,pm10,24,34.0,57.0,47.0,458.1
59,5/01/2020,Hà Nội,o3,47,1.7,11.0,4.0,40.85
60,5/01/2020,Hà Nội,so2,31,1.1,3.0,2.0,5.62
61,5/01/2020,Hà Nội,aqi,24,83.0,155.0,136.0,5833.46
63,5/01/2020,Hà Nội,Áp suất,72,1015.0,1020.0,1017.0,14.78
64,5/01/2020,Hà Nội,co,48,0.1,19.0,0.2,318.81
65,5/01/2020,Hà Nội,pm25,48,48.0,129.0,84.0,4535.3
66,5/01/2020,Hà Nội,no2,48,4.6,31.0,11.0,412.9
67,6/01/2020,Hà Nội,Hướng gió,6,11.3,11.3,11.3,0.0
68,6/01/2020,Hà Nội,Sương,66,18.0,20.0,19.0,2.81
69,6/01/2020,Hà Nội,Nhiệt độ,72,20.0,26.5,22.0,50.98
70,6/01/2020,Hà Nội,Độ ẩm,72,61.0,93.0,85.5,1308.79
71,6/01/2020,Hà Nội,pm10,24,40.0,58.0,47.0,276.94
72,6/01/2020,Hà Nội,o3,44,1.7,8.0,4.0,31.36
73,6/01/2020,Hà Nội,so2,35,1.1,3.0,2.0,4.11
74,6/01/2020,Hà Nội,aqi,24,74.0,162.0,127.0,7501.45
75,6/01/2020,Hà Nội,Tốc độ gió,72,2.0,6.4,4.1,15.02
76,6/01/2020,Hà Nội,Áp suất,72,1013.0,1019.0,1016.0,32.21
77,6/01/2020,Hà Nội,co,48,0.1,28.0,0.3,430.44
78,6/01/2020,Hà Nội,pm25,48,38.0,142.0,85.0,6895.46
