date,pm25,o3,no2,so2,co,pm10,Áp suất,Hướng gió,Nhiệt độ,Sương,Sức gió,Tốc độ gió
13/03/2022,76,2,12,6,7,,,,,,,
14/03/2022,79,4,16,6,3,,,,,,,
15/03/2022,141,2,11,6,3,,,,,,,
16/03/2022,98,3,10,6,5,,,,,,,
17/03/2022,86,3,13,6,6,,,,,,,
18/03/2022,110,2,9,6,7,,,,,,,
19/03/2022,90,2,7, ,10,,,,,,,
20/03/2022,85,3,9,6,9,,,,,,,
21/03/2022,93,4,11,6,7,,,,,,,
22/03/2022,105,3,6,6,8,,,,,,,
23/03/2022, ,2,10,6,9,,,,,,,
24/03/2022, ,2,12,6,8,,,,,,,
25/03/2022, ,7,12,6,1,,,,,,,
26/03/2022, ,3,9,6,9,,,,,,,
27/03/2022,86,2,12,6,6,,,,,,,
28/03/2022,75,1,17,8,5,,,,,,,
29/03/2022, ,2,13,6,3,,,,,,,
30/03/2022,120,4,13,6,6,,,,,,,
31/03/2022,85,7,5,6,8,,,,,,,
1/04/2022,98,9,6,6,5,,,,,,,
2/04/2022,136,9,8,6,3,,,,,,,
3/04/2022,142,9,8,6,5,,,,,,,
4/04/2022,88,8,14,8,6,,,,,,,
5/04/2022,86,10,16,8,9,,,,,,,
6/04/2022,89,14,17,7,13,,,,,,,
7/04/2022,80,11,14,8,14,,,,,,,
8/04/2022,92,14,18,9,14,,,,,,,
9/04/2022,99,8,13,7,13,,,,,,,
10/04/2022,128,5,11,6,14,,,,,,,
11/04/2022,136,2,13,6,11,,,,,,,
12/04/2022,110,2,9,6,15,,,,,,,
13/04/2022,117,6,12,7,10,,,,,,,
14/04/2022,129,3,11,6,17,,,,,,,
15/04/2022,102,3,9,6,15,,,,,,,
16/04/2022,77,2,10,6,14,,,,,,,
17/04/2022,72,1,5,6,23,,,,,,,
18/04/2022,81,2,7,6,16,,,,,,,
19/04/2022,117,7,9,7,18,,,,,,,
20/04/2022,106,7,13,8,6,,,,,,,
21/04/2022,106,6,12,8,18,,,,,,,
22/04/2022,50,3,7,7,20,,,,,,,
23/04/2022,111,3,7,7,17,,,,,,,
24/04/2022,114,3,5,7,18,,,,,,,
25/04/2022,92,3,8,7,12,,,,,,,
26/04/2022,113,2,9,7,16,,,,,,,
27/04/2022,82,2,7,7,25,,,,,,,
28/04/2022, ,2,5,7,24,,,,,,,
29/04/2022, ,2,6,7,23,,,,,,,
30/04/2022, ,2,6,7,21,,,,,,,
1/05/2022, ,2,4,6,26,,,,,,,
2/05/2022, ,3,6,7,25,,,,,,,
3/05/2022,106,3,9,6,25,,,,,,,
4/05/2022,105,5,12,6,14,,,,,,,
5/05/2022,94,5,13,6,26,,,,,,,
6/05/2022,110,4,12,7,30,,,,,,,
7/05/2022,107,2,8,6,25,,,,,,,
8/05/2022,7,2,6,6,26,,,,,,,
9/05/2022,24,2,5,6,19,,,,,,,
10/05/2022,89,2,6,6,14,,,,,,,
11/05/2022,110,3,9,7,14,,,,,,,
12/05/2022,83,3,9,6,15,,,,,,,
13/05/2022,91,4,5,7,17,,,,,,,
14/05/2022,98,11,16,12,26,,,,,,,
15/05/2022,77,11,15,12,15,,,,,,,
16/05/2022,60, , , ,24,,,,,,,
17/05/2022,104,13,16,12,18,,,,,,,
18/05/2022,91,12,13,11,22,,,,,,,
19/05/2022,82,14,17,12,19,,,,,,,
20/05/2022,89,17,18,12,33,,,,,,,
21/05/2022,119,11,15,12,23,,,,,,,
22/05/2022,102,11,17,12,30,,,,,,,
23/05/2022,59,13,18,11,28,,,,,,,
24/05/2022,60,13,17,11,12,,,,,,,
25/05/2022,119,14,21,11,14,,,,,,,
26/05/2022,107,14,24,11,22,,,,,,,
27/05/2022,88,15,27,12,22,,,,,,,
28/05/2022,87,19,28,12,19,,,,,,,
29/05/2022,88, , , ,23,,,,,,,
30/05/2022,94,15,18,13,23,,,,,,,
31/05/2022,78,16,14,14,23,,,,,,,
1/06/2022,77,17,14,16,25,,,,,,,
2/06/2022,80,18,14,17,21,,,,,,,
3/06/2022,73,21,14,17,23,,,,,,,
4/06/2022,88,20,14,17,28,,,,,,,
5/06/2022,118,13,13,14,26,,,,,,,
6/06/2022,80,14,13,12,28,,,,,,,
7/06/2022,72,14,12,13,26,,,,,,,
8/06/2022,98,13,10,13,30,,,,,,,
9/06/2022,123,15,11,13,20,,,,,,,
10/06/2022,97, , , ,23,,,,,,,
11/06/2022,139,15,13,14,26,,,,,,,
12/06/2022,110,15,14,13,20,,,,,,,
13/06/2022,95,15,9,13,22,,,,,,,
14/06/2022,64,15,11,14,23,,,,,,,
15/06/2022,70,15,13,13,22,,,,,,,
16/06/2022,73,14,10,12,20,,,,,,,
17/06/2022,67,2,8,7,28,,,,,,,
18/06/2022,76,3,7,6,20,,,,,,,
19/06/2022,85,3,7,6,19,,,,,,,
20/06/2022,89,3,9,6,24,,,,,,,
21/06/2022,99,2,9,7,25,,,,,,,
22/06/2022,97,3,10,7,23,,,,,,,
23/06/2022,99,4,12,7,24,,,,,,,
24/06/2022,93,2,9,7,21,,,,,,,
25/06/2022,68,2,8,6,30,,,,,,,
26/06/2022,88,2,9,7,26,,,,,,,
27/06/2022,72,2,10,6,27,,,,,,,
28/06/2022,99,5,16,7,27,,,,,,,
29/06/2022,123,6,12,7,21,,,,,,,
30/06/2022,100,2,14,7,16,,,,,,,
1/07/2022,87,4,10,7,25,,,,,,,
2/07/2022,72,3,9,7,23,,,,,,,
3/07/2022,74,4,9,7,12,,,,,,,
4/07/2022,110,2,12,7,15,,,,,,,
5/07/2022,92,3,13,7,16,,,,,,,
6/07/2022,108,2,10,7,19,,,,,,,
7/07/2022,67,2,12,7,15,,,,,,,
8/07/2022,83,2,11,7,13,,,,,,,
9/07/2022,95,3,9,7,16,,,,,,,
10/07/2022,96,2,11,7,28,,,,,,,
11/07/2022,80,2,11,7,27,,,,,,,
12/07/2022,76,2,10,7,21,,,,,,,
13/07/2022,74,2,10,7,16,,,,,,,
14/07/2022,85,2,10,7,14,,,,,,,
15/07/2022,66,2,9,7,24,,,,,,,
16/07/2022,65,2,9,7,19,,,,,,,
17/07/2022,74,2,12,7,17,,,,,,,
18/07/2022,84,1,10,7,15,,,,,,,
19/07/2022,71,2,10,7,23,,,,,,,
20/07/2022,67,2,9,7,17,,,,,,,
21/07/2022,82, ,10,7,12,,,,,,,
22/07/2022,68, ,10,7,27,,,,,,,
23/07/2022,84, ,8,7,19,,,,,,,
24/07/2022,67, ,9,7,16,,,,,,,
25/07/2022,69, ,9,7,16,,,,,,,
26/07/2022,72, ,8,7,15,,,,,,,
27/07/2022,74, ,11,7,14,,,,,,,
28/07/2022,91,1,12,7,12,,,,,,,
29/07/2022,101,2,13,7,23,,,,,,,
30/07/2022,98, ,12,7,22,,,,,,,
31/07/2022,74,1,12,7,24,,,,,,,
1/08/2022,76,1,13,7,23,,,,,,,
2/08/2022,76,1,13,7,20,,,,,,,
3/08/2022,84,1,13,7,16,,,,,,,
4/08/2022,82,1,13,7,14,,,,,,,
5/08/2022,85, ,12,7,15,,,,,,,
6/08/2022,70,1,11,7,17,,,,,,,
7/08/2022,84,2,9,7,19,,,,,,,
8/08/2022,83,2,10,7,23,,,,,,,
9/08/2022,81,2,9,7,21,,,,,,,
10/08/2022,89,2,7,7,12,,,,,,,
11/08/2022,54,2,12,7,13,,,,,,,
12/08/2022,77,3,13,7,20,,,,,,,
13/08/2022,103,2,10,7,21,,,,,,,
14/08/2022,75,2,11,7,0,,,,,,,
15/08/2022,73,3,13,7,27,,,,,,,
16/08/2022,87,2,11,7,26,,,,,,,
17/08/2022,81,4,12,7,20,,,,,,,
18/08/2022,101,5,13,7,19,,,,,,,
19/08/2022,111,2,10,7,15,,,,,,,
20/08/2022,73,2,8,7,30,,,,,,,
21/08/2022,68,1,10,7,26,,,,,,,
22/08/2022,59,2,11,7,26,,,,,,,
23/08/2022,91,5,13,7,18,,,,,,,
24/08/2022,134,2,12,7,18,,,,,,,
25/08/2022,93,2,7,7,16,,,,,,,
26/08/2022,56,2,10,7,17,,,,,,,
27/08/2022,69,2,8,7,17,,,,,,,
28/08/2022,76,2,8,7,20,,,,,,,
29/08/2022,68,2,11,7,21,,,,,,,
30/08/2022,76,2,15,7,19,,,,,,,
31/08/2022,100,3,9,7,17,,,,,,,
1/09/2022,93,4,9,7,19,,,,,,,
2/09/2022,104,4,13,7,20,,,,,,,
3/09/2022,124,3,9,7,20,,,,,,,
4/09/2022,95,4,12,7,15,,,,,,,
5/09/2022,83,7,14,7,21,,,,,,,
6/09/2022,110,6,15,7,19,,,,,,,
7/09/2022,149,2,8,7,23,,,,,,,
8/09/2022,82,2,11,7,17,,,,,,,
9/09/2022,98,3,12,7,10,,,,,,,
10/09/2022,121,2,13,7,0,,,,,,,
11/09/2022,96,4,15,7,24,,,,,,,
12/09/2022,104,7,12,7,27,,,,,,,
13/09/2022,133,7,15,7,11,,,,,,,
14/09/2022,150,3,15,7,9,,,,,,,
15/09/2022,122,1,13,7,14,,,,,,,
16/09/2022,99,1,14,8,23,,,,,,,
17/09/2022,106,6,15,8,21,,,,,,,
18/09/2022,133,5,14,7,17,,,,,,,
19/09/2022,107,4,12,8,20,,,,,,,
20/09/2022,120,2,12,8,7,,,,,,,
21/09/2022,110,2,14,8,0,,,,,,,
22/09/2022,82,5,11,7,25,,,,,,,
23/09/2022,98,4,10, ,18,,,,,,,
24/09/2022,111,4,9,7,16,,,,,,,
25/09/2022,110,5,14,7,21,,,,,,,
26/09/2022,127,6,14,8,21,,,,,,,
27/09/2022,153,2,11,8,16,,,,,,,
28/09/2022,152,2,11,8,11,,,,,,,
29/09/2022,113,1,9,8,17,,,,,,,
30/09/2022,83,2,9,8,20,,,,,,,
1/10/2022,85,1,9,8,22,,,,,,,
2/10/2022,134,2,10,8,29,,,,,,,
3/10/2022,146,2,12,8,21,,,,,,,
4/10/2022,137,2,13,8,21,,,,,,,
5/10/2022,145,2,13,8,18,,,,,,,
6/10/2022,172,2,14,8,19,,,,,,,
7/10/2022,159,2,14,8,15,,,,,,,
8/10/2022,138,2,9,8,10,,,,,,,
9/10/2022,125,3,10,8,13,,,,,,,
10/10/2022,43,5,11,8,14,,,,,,,
11/10/2022,110,7,16,8,20,,,,,,,
12/10/2022,129,8,17,8,0,,,,,,,
13/10/2022,163,8,15,8,26,,,,,,,
14/10/2022,110,9,15,8,17,,,,,,,
15/10/2022,68,7,13,8,18,,,,,,,
16/10/2022,69,8,12,8,29,,,,,,,
17/10/2022,49,10,13,8,24,,,,,,,
18/10/2022,73,5,13,8,17,,,,,,,
19/10/2022,42,3,7,8,21,,,,,,,
20/10/2022,81,1,9,8,21,,,,,,,
21/10/2022, ,3,12,8,18,,,,,,,
22/10/2022, ,4,15,8,14,,,,,,,
23/10/2022, ,7,16,8,9,,,,,,,
24/10/2022, ,5,16,8,16,,,,,,,
25/10/2022,140,4,15,8,13,,,,,,,
26/10/2022,161,1,14,8,18,,,,,,,
27/10/2022,99,2,20,8,13,,,,,,,
28/10/2022,123,8,18,8,21,,,,,,,
29/10/2022,163,6,13,8,22,,,,,,,
30/10/2022,154,4,9, ,24,,,,,,,
31/10/2022,90,5,12,8,25,,,,,,,
1/11/2022,92,6,17,8,23,,,,,,,
2/11/2022,139,7,20,9,18,,,,,,,
3/11/2022,169,6,18,9,26,,,,,,,
4/11/2022,159,7,14,8,22,,,,,,,
5/11/2022,155,8,15,8,20,,,,,,,
6/11/2022,157,2,21,9,21,,,,,,,
7/11/2022,159,7,16,9,23,,,,,,,
8/11/2022,170,7,15,9,20,,,,,,,
9/11/2022,158, ,16,9,17,,,,,,,
10/11/2022,136, ,15,9,15,,,,,,,
11/11/2022,128,1,14,9,10,,,,,,,
12/11/2022,117,1,15,9,11,,,,,,,
13/11/2022,129,1,16,9,21,,,,,,,
14/11/2022,123, ,13,9,26,,,,,,,
15/11/2022,113,1,12,9,19,,,,,,,
16/11/2022,96,1,9,9,15,,,,,,,
17/11/2022,77,1,11,9,13,,,,,,,
18/11/2022,83,1,12,8,0,,,,,,,
19/11/2022,96,2,10,8,0,,,,,,,
20/11/2022,113,1,16,8,28,,,,,,,
21/11/2022,145,2,13,8,25,,,,,,,
22/11/2022,156,2,11,8,23,,,,,,,
23/11/2022,145, ,8,8,18,,,,,,,
24/11/2022,94, ,9,8,25,,,,,,,
25/11/2022,107, ,8,8,19,,,,,,,
26/11/2022,118, ,7,8,24,,,,,,,
27/11/2022,78,1,9,8,24,,,,,,,
28/11/2022,74,1,9,8,25,,,,,,,
29/11/2022,82,1,7,8,22,,,,,,,
30/11/2022,69, ,5,8,9,,,,,,,
1/12/2022,62,1,6,8,12,,,,,,,
2/12/2022,71,1,10,8,19,,,,,,,
3/12/2022,109, ,6,8,23,,,,,,,
4/12/2022,89,1,7,8,22,,,,,,,
5/12/2022,71,1,12,8,30,,,,,,,
6/12/2022,136,2,10,8,22,,,,,,,
7/12/2022,160, ,8,8,0,,,,,,,
8/12/2022,131, ,7,8,19,,,,,,,
9/12/2022,137, ,7,8,20,,,,,,,
10/12/2022,128,2,12,8,19,,,,,,,
11/12/2022,157,6,14,8,25,,,,,,,
12/12/2022,156,4,20,8,31,,,,,,,
13/12/2022,168,6,15,8,21,,,,,,,
14/12/2022,168,5,21,9,20,,,,,,,
15/12/2022,179,8,19,9,23,,,,,,,
16/12/2022,203,5,11,8,26,,,,,,,
17/12/2022,147,6,11,8,14,,,,,,,
18/12/2022,117,5,18,8,17,,,,,,,
19/12/2022,180,3,22,8,18,,,,,,,
20/12/2022,188,7,18,9,17,,,,,,,
21/12/2022,172,6,18,8,0,,,,,,,
22/12/2022,180,3,20,8,27,,,,,,,
23/12/2022,148,6,19,9,18,,,,,,,
24/12/2022,160,3,19,9,20,,,,,,,
25/12/2022,155,2,19,9,23,,,,,,,
26/12/2022,176,1,19,9,19,,,,,,,
27/12/2022,140,1,12,8,13,,,,,,,
28/12/2022,116,2,7, ,12,,,,,,,
29/12/2022,105,1,9, ,18,,,,,,,
30/12/2022,123,1,10,9,27,,,,,,,
31/12/2022,154,4,14,9,17,,,,,,,
1/01/2023,156,3,12,9,12,,,,,,,
2/01/2023,167,1,13, ,11,,,,,,,
3/01/2023,150,1,16,9,13,,,,,,,
4/01/2023,172,1,13,9,22,,,,,,,
5/01/2023,157,3,9, ,16,,,,,,,
6/01/2023,133,3,16,9,12,,,,,,,
7/01/2023,156,4,19,9,12,,,,,,,
8/01/2023,182,4,17,9,14,,,,,,,
9/01/2023,184, ,13,9,17,,,,,,,
10/01/2023,185, ,9,9,12,,,,,,,
11/01/2023,152, ,9,9,13,,,,,,,
12/01/2023,105, ,10,9,12,,,,,,,
13/01/2023,118,4,10,9,17,,,,,,,
14/01/2023,154,1,7,9,19,,,,,,,
15/01/2023,125,2,6,8,24,,,,,,,
16/01/2023,96,2,3,9,18,,,,,,,
17/01/2023,137,3,3,9,17,,,,,,,
18/01/2023,141,2,4,9,21,,,,,,,
19/01/2023,168,2,4,9,17,,,,,,,
20/01/2023,179,6,6,9,14,,,,,,,
21/01/2023,193,3,6,9,19,,,,,,,
22/01/2023,189,1,7,9,16,,,,,,,
23/01/2023,158,4,4,8,10,,,,,,,
24/01/2023,105,4,6, ,16,,,,,,,
25/01/2023,150,2,3,9,17,,,,,,,
26/01/2023,160,3,4,9,14,,,,,,,
27/01/2023,148,5,5,9,15,,,,,,,
28/01/2023,143,6,7,9,14,,,,,,,
29/01/2023,163,5,12,9,14,,,,,,,
30/01/2023,181,2,16,9,15,,,,,,,
31/01/2023,156,2,15,9,9,,,,,,,
1/02/2023,148, ,12,9,12,,,,,,,
2/02/2023,151, , , ,21,,,,,,,
3/02/2023,106, , , ,13,,,,,,,
4/02/2023,99, , , ,12,,,,,,,
5/02/2023,78, , , ,11,,,,,,,
6/02/2023,87, , , ,15,,,,,,,
7/02/2023,81, , , ,16,,,,,,,
8/02/2023,72, , , ,18,,,,,,,
9/02/2023,78,2,10,10,11,,,,,,,
10/02/2023,86,2,7,10,13,,,,,,,
11/02/2023,99,2,9,9,26,,,,,,,
12/02/2023,116,2,13,9,37,,,,,,,
13/02/2023,114,2,10,9,23,,,,,,,
14/02/2023,108,4,10,10,14,,,,,,,
15/02/2023,120,4,12,10,17,,,,,,,
16/02/2023,152,3,18,10,23,,,,,,,
17/02/2023,170,2,19,10,31,,,,,,,
18/02/2023,135,2,11,10,31,,,,,,,
19/02/2023,153,7,13,10,27,,,,,,,
20/02/2023,139,4,21,10,14,,,,,,,
21/02/2023,154,5,17,10,10,,,,,,,
22/02/2023,115,3,18,10,8,,,,,,,
23/02/2023,118, , , ,7,,,,,,,
24/02/2023,112,8,14,10,11,,,,,,,
25/02/2023,99,10,14,10,14,,,,,,,
26/02/2023,145,8,19,10,28,,,,,,,
27/02/2023,160,5,20,10,25,,,,,,,
28/02/2023,151,2,17,10,11,,,,,,,
1/03/2023,153,10,17,11,15,,,,,,,
2/03/2023,180,6,20,9,18,,,,,,,
3/03/2023,172, ,11,8,14,,,,,,,
4/03/2023,150, ,14,8,25,,,,,,,
5/03/2023,169,7,17,8,29,,,,,,,
6/03/2023,158,7,14,8,21,,,,,,,
7/03/2023,121,5,17,8,19,,,,,,,
8/03/2023,133,7,13,8,22,,,,,,,
9/03/2023,165,4,14,8,26,,,,,,,
10/03/2023,164,2,15,8,20,,,,,,,
11/03/2023,144,6,15,9,21,,,,,,,
12/03/2023,148,7,7,8,0,,,,,,,
13/03/2023,119,8,12,8,11,,,,,,,
14/03/2023,153,4,16,9,7,,,,,,,
15/03/2023,148,4,11,9,6,,,,,,,
16/03/2023,94,3,11,9,6,,,,,,,
17/03/2023, ,3,11,8,8,,,,,,,
18/03/2023, ,3,8,8,9,,,,,,,
19/03/2023, ,3,9,8,11,,,,,,,
20/03/2023,114,3,13,9,1,,,,,,,
21/03/2023,124,6,13,8,0,,,,,,,
22/03/2023,157,5,14,8,11,,,,,,,
23/03/2023,146,4,14,9,9,,,,,,,
24/03/2023,147,4,11,8,15,,,,,,,
25/03/2023,122,2,8,9,12,,,,,,,
26/03/2023,88,2,8,9,15,,,,,,,
27/03/2023,73,2,9,9,27,,,,,,,
28/03/2023,97,2,9,9,25,,,,,,,
29/03/2023,92,2,11,9,14,,,,,,,
30/03/2023,112,2,18,10,11,,,,,,,
31/03/2023,157,2,16,10,18,,,,,,,
1/04/2023,125,3,11,9,26,,,,,,,
2/04/2023,94,4,11,9,18,,,,,,,
3/04/2023,94,4,13,9,20,,,,,,,
4/04/2023,126,4,13,9,15,,,,,,,
5/04/2023,139,5,12,9,25,,,,,,,
6/04/2023,135,4,14,8,19,,,,,,,
7/04/2023,128,6,10,8,19,,,,,,,
8/04/2023,132,3,12,9,16,,,,,,,
9/04/2023,144,2,14,9,18,,,,,,,
10/04/2023,153,2,14,9,18,,,,,,,
11/04/2023,142,3,14,9,19,,,,,,,
12/04/2023,121,3,12,8,20,,,,,,,
13/04/2023,90,4,14,9,18,,,,,,,
14/04/2023,102,4,13,9,17,,,,,,,
15/04/2023,133,3,15,8,23,,,,,,,
16/04/2023,137,4,11,8,13,,,,,,,
17/04/2023,140,5,10,8,14,,,,,,,
18/04/2023,119,7,12,8,21,,,,,,,
19/04/2023,144,7,17,9,25,,,,,,,
20/04/2023,146,7,17,9,16,,,,,,,
21/04/2023,153,7,10,8,3,,,,,,,
22/04/2023,141,7,9,8,11,,,,,,,
23/04/2023,126,7,9,8,9,,,,,,,
24/04/2023,103,6,11,8,11,,,,,,,
25/04/2023,73,4,13,8,18,,,,,,,
26/04/2023,100,5,14,9,18,,,,,,,
27/04/2023,115,4,9,9,13,,,,,,,
28/04/2023,90,4,11,9,9,,,,,,,
29/04/2023,79,4,11,9,15,,,,,,,
30/04/2023,96,9,11,8,20,,,,,,,
1/05/2023,130,6,9,9,14,,,,,,,
2/05/2023,103,5,6,8,15,,,,,,,
3/05/2023,80,8,7,8,11,,,,,,,
4/05/2023,91,9,11,9,13,,,,,,,
5/05/2023,109,12,10,9,13,,,,,,,
6/05/2023,132,10,9,9,13,,,,,,,
7/05/2023,118,28,12,9,14,,,,,,,
8/05/2023,83,10,13,9,10,,,,,,,
9/05/2023,105,13,11,9,20,,,,,,,
10/05/2023,82,24,14,9,12,,,,,,,
11/05/2023,66,5,11,9,16,,,,,,,
12/05/2023,73,7,8,9,17,,,,,,,
13/05/2023,76,7,11,9,16,,,,,,,
14/05/2023,82,13,12,9,17,,,,,,,
15/05/2023,90,14,10,9,12,,,,,,,
16/05/2023,97,15,12,9,13,,,,,,,
17/05/2023,123,14,10,9,11,,,,,,,
18/05/2023,143,15,19,9,14,,,,,,,
19/05/2023,138,41,10,9,12,,,,,,,
20/05/2023,132,41,9,9,18,,,,,,,
21/05/2023, ,51,10,9,12,,,,,,,
22/05/2023,148,41,12,9,12,,,,,,,
23/05/2023,124,30,9,9,3,,,,,,,
24/05/2023,124,21,15,9,9,,,,,,,
25/05/2023,78,18,11,9,11,,,,,,,
26/05/2023,83,24,9,9,11,,,,,,,
27/05/2023,72,22,7,9,16,,,,,,,
28/05/2023,66,31,14,9,16,,,,,,,
29/05/2023,88,20,14,9,17,,,,,,,
30/05/2023,88,16,12,9,15,,,,,,,
31/05/2023,123,32,10,9,16,,,,,,,
1/06/2023,104,37,14,9,13,,,,,,,
2/06/2023,109,13,11,9,80,,,,,,,
3/06/2023,89,14,13,9,23,,,,,,,
4/06/2023,104,11,14,9,16,,,,,,,
5/06/2023,106,14,9,9,11,,,,,,,
6/06/2023,101,24,10,9,10,,,,,,,
7/06/2023,111,16,13,9,14,,,,,,,
8/06/2023,128,10,10,9,11,,,,,,,
9/06/2023,71,9,14,9,13,,,,,,,
10/06/2023,118,11,8,9,17,,,,,,,
11/06/2023,136,8,13,9,17,,,,,,,
12/06/2023,120,10,9,9,15,,,,,,,
13/06/2023,88,6,8,9,13,,,,,,,
14/06/2023,75,16,11,9,17,,,,,,,
15/06/2023,69,57,15,9,12,,,,,,,
16/06/2023,85, ,10,9,9,,,,,,,
17/06/2023,72, ,9,9,17,,,,,,,
18/06/2023,65, ,12,9,0,,,,,,,
19/06/2023,80,8,13,9,0,,,,,,,
20/06/2023,72,52,13,9,15,,,,,,,
21/06/2023, ,59,17,9,14,,,,,,,
22/06/2023,114,5,9,9,16,,,,,,,
23/06/2023,64, ,10,9,13,,,,,,,
24/06/2023,68, ,9,9,14,,,,,,,
25/06/2023,61, ,12,9,14,,,,,,,
26/06/2023,75, ,12,9,14,,,,,,,
27/06/2023,70, ,8,9,15,,,,,,,
28/06/2023,59, ,7,9,12,,,,,,,
29/06/2023,65, ,11,9,15,,,,,,,
30/06/2023,76, ,11,9,16,,,,,,,
1/07/2023,85, ,9,9,32,,,,,,,
2/07/2023,77, ,13,9,18,,,,,,,
3/07/2023,67, ,10,9,14,,,,,,,
4/07/2023,82, ,12,9,11,,,,,,,
5/07/2023,79, ,8,9,11,,,,,,,
6/07/2023,43, ,9,10,10,,,,,,,
7/07/2023,12, ,8,9,9,,,,,,,
8/07/2023,11, ,11,9,11,,,,,,,
9/07/2023,10, ,12,9,12,,,,,,,
10/07/2023,46,6,12,9,11,,,,,,,
11/07/2023,74,4,13,9,14,,,,,,,
12/07/2023,65,6,14,9,15,,,,,,,
13/07/2023,92,4,11,9,17,,,,,,,
14/07/2023,73,5,12,9,13,,,,,,,
15/07/2023,90,8,12,9,11,,,,,,,
16/07/2023,107,10,13,9,10,,,,,,,
17/07/2023,122,7,10,9,5,,,,,,,
18/07/2023,97,4,14,9,12,,,,,,,
19/07/2023,94,3,12,9,13,,,,,,,
20/07/2023,118,3,11,9,11,,,,,,,
21/07/2023,106,2,10,9,9,,,,,,,
22/07/2023,76,2,8,9,15,,,,,,,
23/07/2023,63,2,11,9,15,,,,,,,
24/07/2023,64,2,11,9,13,,,,,,,
25/07/2023,62,5,12,9,15,,,,,,,
26/07/2023,72,7,13,9,15,,,,,,,
27/07/2023,94,4,13,9,9,,,,,,,
28/07/2023,94,7,11,9,8,,,,,,,
29/07/2023,105,3,12,9,9,,,,,,,
30/07/2023,97,2,13,9,13,,,,,,,
31/07/2023,80,3,13,9,15,,,,,,,
1/08/2023,74,2,12,9,13,,,,,,,
2/08/2023,102,3,9,9,11,,,,,,,
3/08/2023,89,2,11,9,13,,,,,,,
4/08/2023,70,2,10,9,11,,,,,,,
5/08/2023,63,2,11,9,11,,,,,,,
6/08/2023,65,2,12,9,14,,,,,,,
7/08/2023,63,2,13,9,17,,,,,,,
8/08/2023,66,3,11,9,11,,,,,,,
9/08/2023,91,2,13,10,9,,,,,,,
10/08/2023,112,2,14,10,10,,,,,,,
11/08/2023,127,2,12,10,11,,,,,,,
12/08/2023,105,4,10,9,12,,,,,,,
13/08/2023,113,4,14,9,0,,,,,,,
14/08/2023,72,4,13,9,12,,,,,,,
15/08/2023,90,2,16,9,14,,,,,,,
16/08/2023,113,5,13,10,13,,,,,,,
17/08/2023,107,4,12,9,12,,,,,,,
18/08/2023,96,2,17,10,11,,,,,,,
19/08/2023,128,2,12,9,14,,,,,,,
20/08/2023,91,2,15,10,13,,,,,,,
21/08/2023,84,3,14,10,12,,,,,,,
22/08/2023,91,6,12,9,12,,,,,,,
23/08/2023,89,3,13,9,14,,,,,,,
24/08/2023,98,3,11,9,12,,,,,,,
25/08/2023,96,3,12,10,9,,,,,,,
26/08/2023,83,4,12,10,10,,,,,,,
27/08/2023,97,3,10,10,14,,,,,,,
28/08/2023,69,3,9,9,15,,,,,,,
29/08/2023,82,7,9,9,15,,,,,,,
30/08/2023,86,10,13,9,16,,,,,,,
31/08/2023,120,9,11,9,17,,,,,,,
1/09/2023,133,9,10,9,15,,,,,,,
2/09/2023,121,6,10,10,14,,,,,,,
3/09/2023,103,3,8,9,18,,,,,,,
4/09/2023,67,3,11,9,16,,,,,,,
5/09/2023,82,4,11,10,21,,,,,,,
6/09/2023,124,7,9,9,18,,,,,,,
7/09/2023,125,5,8,9,14,,,,,,,
8/09/2023,85,4,10,9,12,,,,,,,
9/09/2023,104,4,9,9,16,,,,,,,
10/09/2023,124,4,12,9,18,,,,,,,
11/09/2023,124,2,14,9,17,,,,,,,
12/09/2023,128,3,7,9,7,,,,,,,
13/09/2023,68,3,6,9,12,,,,,,,
14/09/2023,56,3,8,9,16,,,,,,,
15/09/2023,74,3,10,9,16,,,,,,,
16/09/2023,97,2,11,9,21,,,,,,,
17/09/2023,109,2,13,9,18,,,,,,,
18/09/2023,88,2,11,9,16,,,,,,,
19/09/2023,69,2,9,9,13,,,,,,,
20/09/2023,75,2,9,9,0,,,,,,,
21/09/2023,75,2,10,9,10,,,,,,,
22/09/2023,75,2,11,10,13,,,,,,,
23/09/2023,77,2,12,9,12,,,,,,,
24/09/2023,91,3,10,10,23,,,,,,,
25/09/2023,112,2,9,10,21,,,,,,,
26/09/2023,109,2,8,9,13,,,,,,,
27/09/2023,72,2,9,10,13,,,,,,,
28/09/2023,74,2,11,10,18,,,,,,,
29/09/2023,114,3,9,10,23,,,,,,,
30/09/2023,138,2,11,10,27,,,,,,,
1/10/2023,108,2,13,10,18,,,,,,,
2/10/2023,98,4,13,10,19,,,,,,,
3/10/2023,121,4,13,10,15,,,,,,,
4/10/2023,118,3,11,10,8,,,,,,,
5/10/2023,110,2,10,10,9,,,,,,,
6/10/2023,101,2,8,10,11,,,,,,,
7/10/2023,89,8,8,9,17,,,,,,,
8/10/2023,77,7,9,9,17,,,,,,,
9/10/2023,87,7,9,9,25,,,,,,,
10/10/2023,87,7,9,9,19,,,,,,,
11/10/2023,93,4,8,9,16,,,,,,,
12/10/2023,90,6,10,10,26,,,,,,,
13/10/2023,122,6,8,10,25,,,,,,,
14/10/2023,124,7,7,9,26,,,,,,,
